assignation,mzdiff,polarity
[M*H+(NaCl)2]*,115.917241,X
[M+Cl+NaCOOH]-,103.964118,NEG
[M+Cl+HCOOH]-,81.982148,NEG
[M+2K-H]+,75.911764,POS
[M*H+KCl]*,73.932561,X
[M*H+CHOONa]*,67.987444,X
[M*H+2(CHOONa)]*,135.974888,X
[M*H+3(CHOONa)]*,203.962332,X
[M*H+4(CHOONa)]*,271.949776,X
[M*H+5(CHOONa)]*,339.93722,X
[M*H+6(CHOONa)]*,407.924664,X
[M*H+7(CHOONa)]*,475.912108,X
[M*H-CHOONa]*,-67.987444,X
[M+Na+K-H]+,59.937824,POS
[M*H+NaCl]*,57.958621,X
[M-H+HCOOH]-,46.00547,NEG
[M+2Na-H]+,43.963884,POS
[M*H+(CH3)2CO-H2O]* (acetone cond.),40.0313,X
[M+K]+ / [M-2H+K]-,37.955882,X
[M+Cl]-,35.976678,NEG
[M+Na]+ / [M-2H+Na]-,21.981942,X
[M+NH4]+,17.026574,POS
[M*H]*,0,X
[M*H-CH2]*,-14.01565,X
[M*H-O]*,-15.994914,X
[M*H-CH4]*,-16.0313,X
[M*H-NH3]*,-17.026549,X
[M*H-H2O]*,-18.010564,X
[M*H-C2H2]*,-26.01565,X
[M*H-CO]*,-27.994914,X
[M*H-C2H4]*,-28.0313,X
[M*H-CH2O]*,-30.010564,X
[M*H-C2H6]*,-30.04695,X
[M*H-S]*,-31.97207,X
[M*H-CH3OH]*,-32.026214,X
[M*H-NH3-H2O]*,-35.037113,X
[M*H-(H2O)2]*,-36.021129,X
[M*H-C3H4]*,-40.0313,X
[M*H-COCH2]*,-42.010564,X
[M*H-C3H6]*,-42.04695,X
[M*H-CO2]*,-43.989829,X
[M*H-C2H4O]* (McLafferty),-44.026214,X
[M*H-HCOOH]*,-46.005479,X
[M*H-CH3S]*,-46.995546,X
[M*H-NH3-C2H6]*,-47.073499,X
[M*H-NH3-H2O-H2O]*,-53.047678,X
[M*H-3(H2O)]*,-54.031696,X
[M*H-C4H6]*,-54.04695,X
[M*H-C3H4O]*,-56.026214,X
[M*H-C4H8]*,-56.0626,X
[M*H-NH3-C3H4]*,-57.057849,X
[M*H-C2H2O2]*,-58.005479,X
[M*H-C3H6O]*,-58.041864,X
[M*H-NH3-COCH2]*,-59.037113,X
[M*H-C3H9N]*,-59.073499,X
[M*H-C2H4O2]*,-60.021129,X
[M*H-NH3-CO2]*,-61.016378,X
[M*H-H2O-CO2]*,-62.000394,X
[M*H-NH3-HCOOH]*,-63.032028,X
[M*H-H2O-HCOOH]*,-64.016044,X
[M*H-C5H8]*,-68.0626,X
[M*H-C4H6O]*,-70.041864,X
[M*H-C5H10]*,-70.07825,X
[M*H-C2H4-CO2]*,-72.02113,X
[M*H-C4H6-H2O]*,-72.057515,X
[M*H-NH3-CO-CO]*,-73.016379,X
[M*H-C2H4-HCOOH]*,-74.03678,X
[M*H-NH3-NH3-C3H4]*,-74.084399,X
[M*H-H2O-C2H2O2]*,-76.016044,X
[M*H-SO3]*,-79.956815,X
[M*H-H2O-H2O-C2H4O (McLafferty)]*,-80.047345,X
[M*H-3(H2O)-CO]*,-82.026607,X
[M*H-C4H6-C2H4]*,-82.078251,X
[M*H-C5H8O]*,-84.057515,X
[M*H-C6H12]*,-84.0939,X
[M*H-CO2-C3H6]*,-86.03678,X
[M*H-NH3-CO-COCH2]*,-87.032029,X
[M*H-C4H8O2]*,-88.052429,X
[M*H-C4H6-NH3-H2O]*,-89.084064,X
[M*H-C3H6O-CH3OH]*,-90.06808,X
[M*H-NH3-CO2-CH2O]*,-91.026944,X
[M*H-HCOOH-HCOOH]*,-92.010959,X
[M*H-C2H4O2-CH3OH]*,-92.047345,X
[M*H-S-NH3-HCOOH]*,-95.004099,X
[M*H-NH3-HCOOH-CH3OH]*,-95.058244,X
[M*H-NH3-CO2-NH3-H2O]*,-96.053493,X
[M*H-C4H6-COCH2]*,-96.057515,X
[M*H-SO3-H2O]*,-97.96738,X
[M*H-COCH2-C4H8]*,-98.073165,X
[M*H-NH3-C3H4-COCH2]*,-99.068414,X
[M*H-C3H4O-C4H6]*,-110.073165,X
[M*H-C4H8-C4H6]*,-110.109551,X
[M*H-SO3-H2O-NH3]*,-114.993929,X
[M*H-NH3-CO2-C3H4O]*,-117.042594,X
[M*H-Val]*,-117.078977,X
[M*H-C8H6O]*,-118.041865,X
[M*H-phenylacetyl]*,-118.041877,X
[M*H-C3H9N-C2H4O2]*,-119.094629,X
[M*H-C4H6-C4H6O]*,-124.088816,X
[M*H-NH3-CO2-C5H8]*,-129.078979,X
[M*H-Leu]*,-131.094677,X
[M*H-C8H6O-NH3]*,-135.068414,X
[M*H-C8H6O-H2O]*,-136.05243,X
[M*H-C3H4O-C4H8O2]*,-144.078645,X
[M*H-NH3-C8H6O-CH2]*,-149.084064,X
[M*H-NH3-CO-COCH2-C4H6O]*,-157.073894,X
[M*H-hexose]*,-162.05283,X
[M*H-gluc]*,-176.032124,X
[M*H-hexose-CH4]*,-178.084153,X
[M*H-gluc-H2O]*,-194.042677,X
[M*H-hexose-CH3OH]*,-194.079068,X
[M*H-hexose-H2O-C2H4O]*,-206.07904,X
[M*H-gluc-2(H2O)]*,-212.053177,X
[M*H-hexose-C2H4O2]*,-224.088488,X
[M*H-gluc-3(H2O)]*,-230.063777,X
[M*H-gluc-3(H2O)-CO]*,-258.058677,X
